CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
UT31-93D,2,4,3,1,3,1,0,0,1,2,1,2
UT31-93D,2,4,3,1,3,1,0,0,2,2,1,2
UT32-03D,3,5,1,1,1,2,,0,2,2,3,1
UT33-03D,2,4,2,0,2,1,1,0,2,2,3,1
UT34-03D,2,5,3,1,2,1,1,0,3,2,3,2
UT35-04D,,5,1,1,2,4,0,0,3,2,3,1
UT35-93D,2,3,2,3,2,1,0,0,0,2,1,2
UT35-93D,2,3,2,3,2,1,0,0,3,2,1,2
UT36-01D,3,5,1,3,1,4,0,0,3,2,3,2
UT37-01D,3,4,2,2,2,1,0,0,2,2,3,2
UT38-01D,3,5,1,1,2,3,,1,3,2,3,2
UT39-03D,2,4,1,1,1,4,1,0,1,2,3,1
UT40-03D,2,4,2,0,2,2,1,1,2,2,3,2
UT41-03D,1,5,1,0,2,3,0,1,,2,3,1
UT43-03D,1,3,1,0,1,3,0,1,2,2,3,1
UT44-01D,3,4,2,1,1,3,0,0,3,2,3,2
UT44-03D,1,2,1,1,2,2,1,1,2,2,3,2
UT46-03D,1,3,3,1,1,0,0,0,0,2,1,2
UT46-03D,1,3,3,1,1,0,0,0,2,2,1,2
UT48-04D,1,3,3,1,3,2,0,0,0,2,1,2
UT48-04D,1,3,3,1,3,2,0,0,2,2,1,2
ML07-0793,3,3,1,1,2,3,0,0,1,2,2,2
ML07-1164,3,3,1,1,2,3,1,0,2,2,2,2
ML07-1165,2,3,2,1,2,3,1,0,1,2,2,2
ML07-1206,2,3,1,1,1,4,1,0,3,2,2,2
ML07-1367,1,2,1,1,2,3,1,1,2,2,2,2
ML07-1391,1,2,2,1,3,0,1,1,3,2,2,2
ML07-1606,3,3,2,2,2,1,1,0,2,2,2,2
ML07-1970,3,3,1,2,2,1,0,1,1,2,2,2
ML07-1976,3,3,1,1,1,3,1,0,2,2,2,1
ML07-1995,3,3,2,2,2,3,1,0,3,2,2,2
ML07-2002,2,3,1,0,1,1,,0,2,2,2,2
ML07-2016,2,2,2,1,2,1,1,0,,2,2,2
ML07-2053,2,3,1,1,2,1,1,1,1,2,2,2
ML07-2125,3,3,2,1,2,3,0,0,2,2,2,2
ML08-0025,2,3,1,2,,,,1,2,2,2,2
ML08-0050,2,3,1,1,2,,,0,2,2,2,2
ML08-0051,,,,,,,,1,,2,2,2
ML08-0564,2,3,1,1,1,3,0,0,2,2,2,2
ML08-0709,2,3,2,1,2,1,1,0,2,2,2,1
ML08-0712,2,3,2,1,2,3,0,0,2,2,2,2
